"filename", "language", "JavaScript JSX", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Users\gk725\Desktop\MERN\typing\src\App.css", "CSS", 0, 0, 69, 0, 3, 72
"c:\Users\gk725\Desktop\MERN\typing\src\App.jsx", "JavaScript JSX", 29, 0, 0, 1, 4, 34
"c:\Users\gk725\Desktop\MERN\typing\src\components\Keyboard\Key.jsx", "JavaScript JSX", 23, 0, 0, 0, 3, 26
"c:\Users\gk725\Desktop\MERN\typing\src\components\Keyboard\Keyboard.css", "CSS", 0, 0, 55, 2, 7, 64
"c:\Users\gk725\Desktop\MERN\typing\src\components\Keyboard\Keyboard.jsx", "JavaScript JSX", 34, 0, 0, 0, 8, 42
"c:\Users\gk725\Desktop\MERN\typing\src\components\Keyboard\Row.jsx", "JavaScript JSX", 12, 0, 0, 0, 2, 14
"c:\Users\gk725\Desktop\MERN\typing\src\components\Keyboard\config.js", "JavaScript", 0, 6, 0, 0, 1, 7
"c:\Users\gk725\Desktop\MERN\typing\src\components\LiveStats.jsx", "JavaScript JSX", 74, 0, 0, 0, 8, 82
"c:\Users\gk725\Desktop\MERN\typing\src\components\Navbar.js", "JavaScript", 0, 0, 0, 0, 1, 1
"c:\Users\gk725\Desktop\MERN\typing\src\components\Test.css", "CSS", 0, 0, 60, 0, 4, 64
"c:\Users\gk725\Desktop\MERN\typing\src\components\Test.jsx", "JavaScript JSX", 116, 0, 0, 1, 9, 126
"c:\Users\gk725\Desktop\MERN\typing\src\components\TestOptions.jsx", "JavaScript JSX", 0, 0, 0, 0, 1, 1
"c:\Users\gk725\Desktop\MERN\typing\src\components\TestProgress.jsx", "JavaScript JSX", 14, 0, 0, 0, 3, 17
"c:\Users\gk725\Desktop\MERN\typing\src\components\TestResult.jsx", "JavaScript JSX", 66, 0, 0, 0, 5, 71
"c:\Users\gk725\Desktop\MERN\typing\src\components\Text\Text.css", "CSS", 0, 0, 54, 1, 2, 57
"c:\Users\gk725\Desktop\MERN\typing\src\components\Text\Text.jsx", "JavaScript JSX", 50, 0, 0, 0, 9, 59
"c:\Users\gk725\Desktop\MERN\typing\src\components\Text\Word.jsx", "JavaScript JSX", 43, 0, 0, 14, 8, 65
"c:\Users\gk725\Desktop\MERN\typing\src\components\config.js", "JavaScript", 0, 2, 0, 0, 1, 3
"c:\Users\gk725\Desktop\MERN\typing\src\components\context\TestContextProvider.jsx", "JavaScript JSX", 119, 0, 0, 1, 12, 132
"c:\Users\gk725\Desktop\MERN\typing\src\hooks\useTestContext.js", "JavaScript", 0, 9, 0, 0, 2, 11
"c:\Users\gk725\Desktop\MERN\typing\src\hooks\useTestResult.js", "JavaScript", 0, 0, 0, 0, 1, 1
"c:\Users\gk725\Desktop\MERN\typing\src\index.css", "CSS", 0, 0, 50, 0, 6, 56
"c:\Users\gk725\Desktop\MERN\typing\src\main.jsx", "JavaScript JSX", 5, 0, 0, 0, 2, 7
"c:\Users\gk725\Desktop\MERN\typing\src\pages\About.jsx", "JavaScript JSX", 5, 0, 0, 0, 3, 8
"c:\Users\gk725\Desktop\MERN\typing\src\pages\Main.jsx", "JavaScript JSX", 5, 0, 0, 0, 3, 8
"c:\Users\gk725\Desktop\MERN\typing\src\pages\Setting.jsx", "JavaScript JSX", 5, 0, 0, 0, 3, 8
"c:\Users\gk725\Desktop\MERN\typing\src\pages\Stats.jsx", "JavaScript JSX", 5, 0, 0, 0, 3, 8
"c:\Users\gk725\Desktop\MERN\typing\src\utils\keys.js", "JavaScript", 0, 5, 0, 1, 1, 7
"Total", "-", 605, 22, 288, 21, 115, 1051